14.7526	0.0046	0.006	0.004
14.8242	0.0057	0.0057	0.0041
14.8958	0.0058	0.0062	0.0048
14.9674	0.0055	0.0062	0.0054
15.0391	0.0061	0.0061	0.0057
15.1107	0.0055	0.007	0.0056
15.1823	0.0062	0.007	0.0069
15.2539	0.0065	0.007	0.006
15.3255	0.0068	0.0072	0.006
15.3971	0.0066	0.0078	0.0076
15.4687	0.007	0.0078	0.0072
15.5404	0.0075	0.0077	0.0078
15.612	0.0073	0.0078	0.0074
15.6836	0.0081	0.0077	0.0086
15.7552	0.0074	0.0084	0.0078
15.8268	0.0078	0.0089	0.0074
15.8984	0.0081	0.0079	0.0076
15.9701	0.009	0.0086	0.0078
16.0417	0.0091	0.0092	0.0075
16.1133	0.0083	0.0089	0.008
16.1849	0.0086	0.0095	0.0067
16.2565	0.0096	0.0091	0.0075
16.3281	0.0089	0.0091	0.0083
16.3997	0.009	0.0099	0.0085
16.4714	0.0095	0.0096	0.0083
16.543	0.0092	0.0102	0.0089
16.6146	0.0094	0.0096	0.0086
16.6862	0.0101	0.0098	0.0089
16.7578	0.0102	0.0098	0.01
16.8294	0.01	0.0096	0.0097
16.901	0.0098	0.0098	0.0093
16.9727	0.0097	0.0101	0.0099
17.0443	0.01	0.0103	0.0099
17.1159	0.0096	0.0105	0.0098
17.1875	0.0106	0.0096	0.0105
17.2591	0.0109	0.0103	0.0103
17.3307	0.0113	0.0104	0.0103
17.4023	0.0111	0.0102	0.0101
17.474	0.0111	0.0103	0.0105
17.5456	0.0108	0.0101	0.0105
17.6172	0.0092	0.0094	0.011
17.6888	0.0102	0.0097	0.0104
17.7604	0.01	0.0096	0.0101
17.832	0.0098	0.0095	0.0109
17.9036	0.0098	0.0095	0.0102
17.9753	0.0094	0.0091	0.0098
18.0469	0.0094	0.0093	0.0103
18.1185	0.0106	0.0094	0.0106
18.1901	0.0106	0.0096	0.0106
18.2617	0.011	0.0101	0.0112
18.3333	0.0108	0.0107	0.0114
18.4049	0.0115	0.0108	0.0129
18.4766	0.0117	0.0117	0.0119
18.5482	0.0134	0.0125	0.0139
18.6198	0.0139	0.0132	0.0139
18.6914	0.0152	0.0137	0.0143
18.763	0.0155	0.0132	0.0146
18.8346	0.0147	0.0133	0.014
18.9062	0.0137	0.0129	0.0129
18.9779	0.0125	0.0118	0.0129
19.0495	0.0114	0.0099	0.0114
19.1211	0.0102	0.0086	0.0087
19.1927	0.008	0.0068	0.0062
19.2643	0.0054	0.0045	0.0048
19.3359	0.0045	0.003	0.0023
19.4076	0.0019	0.0022	0.0012
19.4792	0.0015	0.0014	0.0012
19.5508	6E-4	6E-4	0.001
19.6224	9E-4	8E-4	-7E-4
19.694	0.0015	0.001	-2E-4
19.7656	0.0013	0.001	9E-4
19.8372	0.0014	0.0014	-4E-4
19.9089	0.0022	0.0011	0
19.9805	8E-4	0.0017	1E-4
20.0521	0.0011	0.0016	0.0016
20.1237	0.0016	0.0017	9E-4
20.1953	0.0029	0.0024	8E-4
20.2669	0.0031	0.0026	0.0021
20.3385	0.0044	0.0036	0.0024
20.4102	0.0039	0.0045	0.0033
20.4818	0.0042	0.0056	0.004
20.5534	0.0058	0.0062	0.0048
20.625	0.0075	0.0068	0.0054
20.6966	0.0083	0.0072	0.007
20.7682	0.0099	0.0082	0.008
20.8398	0.0113	0.0093	0.0097
20.9115	0.0122	0.0099	0.0103
20.9831	0.0118	0.0112	0.0106
21.0547	0.013	0.012	0.0105
21.1263	0.0137	0.0122	0.0102
21.1979	0.0122	0.0117	0.0081
21.2695	0.0105	0.0095	0.0068
